Path,CallCountPerSecond,CallsPer1CpuPercent
net472-TcpAsync,42531,1701
net472-Tcp,146194,5623
net472-MemorySharingMutex,49799,3831
net472-MemorySharing,4239444,128468
net472-PipeAsync,116670,1282
net472-Pipe,92841,7142
net472-UdpAsync,37752,1348
net472-Udp,133792,4955
net5.0-TcpAsync,120454,3886
net5.0-Tcp,144656,5358
net5.0-MemorySharingMutex,58772,5343
net5.0-MemorySharing,28388222,860249
net5.0-PipeAsync,87568,1269
net5.0-Pipe,96717,7440
net5.0-UdpAsync,111139,3585
net5.0-Udp,130236,4824
netcoreapp3.1-TcpAsync,120582,3890
netcoreapp3.1-Tcp,148095,5924
netcoreapp3.1-MemorySharingMutex,56915,5174
netcoreapp3.1-MemorySharing,25447319,771131
netcoreapp3.1-PipeAsync,83069,1298
netcoreapp3.1-Pipe,98610,8218
netcoreapp3.1-UdpAsync,107617,3363
netcoreapp3.1-Udp,131066,4854
