CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
148095,9,17,25
10279.89516972441,1.1865149767656784,0.18400155231055276,1.0668628628428616
144547,6,16,23
204459,12,17,28
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
147513,8,17,25
233.345124355822,1.6969547072763154,0.1312862240973312,1.666204922187195
146950,5,16,22
147920,14,17,31
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
40339,17,4,21
1186.0038483694661,0,0.8736771647711391,0.9821428071774314
37428,17,2,18
41565,17,6,23
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
148095,9,17,25
10279.89516972441,1.1865149767656784,0.18400155231055276,1.0668628628428616
144547,6,16,23
204459,12,17,28
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
147513,8,17,25
233.345124355822,1.6969547072763154,0.1312862240973312,1.666204922187195
146950,5,16,22
147920,14,17,31
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
40339,17,4,21
1186.0038483694661,0,0.8736771647711391,0.9821428071774314
37428,17,2,18
41565,17,6,23
